gMag,gnuc,greffkpc,gn,gellip
-14.3,o,0.686,0.89,0.25
-9.32,x,0.21,0.83,0.23
-10.91,x,0.716,0.35,0.23
-12.18,o,0.576,0.75,0.06
-12.68,x,1.129,0.83,0.62
-10.33,x,0.176,1.06,0.17
-14.11,x,0.955,0.74,0.39
-8.86,x,0.22,0.49,0.02
-9.49,x,0.325,0.97,0.17
-8.86,x,0.285,0.1,0.49
-10.44,x,0.314,0.52,0.3
-13.69,x,0.582,0.97,0.12
-13.64,o,1.228,1.13,0.4
-14.74,o,1.44,0.7,0.05
-8.92,x,0.401,0.11,0.66
-10.1,x,0.326,0.98,0.4
-12.7,x,0.549,0.7,0.43
-10.65,o,0.36,1.54,0.38
-9,x,0.273,0.73,0.12
-13.76,x,0.807,1.11,0.21
-11.15,x,0.693,0.32,0.25
-13.61,x,0.619,1.3,0.48
-12.44,o,0.422,0.86,0.15
-14.66,x,2.382,0.52,0.5
-10.69,o,0.523,0.76,0.24
-9.46,x,0.181,0.54,0.17
-13.61,x,0.582,0.96,0.33
-14.25,o,1.109,0.9,0.08
-9.26,x,0.103,0.65,0.16
-8.68,x,0.247,0.88,0.35
-14.9,o,1.244,1.02,0.07
-10.01,x,0.509,0.73,0.12
-11.86,o,0.457,0.88,0.15
-9.05,x,0.535,0.63,0.56
-14.37,o,1.18,0.96,0.16
-14.36,o,1.323,0.81,0.48
-14.69,o,0.981,0.84,0.39
-15.91,o,1.189,0.95,0.03
-14.6,x,2.066,1,0.57
-9.27,x,0.337,0.59,0.55
-13.66,o,0.599,0.78,0.19
-10.49,x,0.32,0.82,0.25
-14.17,o,1.179,0.88,0.5
-9.42,x,0.337,0.39,0.26
-14.81,o,0.918,1.15,0.29
-10.3,x,0.275,0.89,0.44
-9.92,x,0.5,1.1,0.18
-15.8,o,1.685,0.96,0.13
-12.03,x,0.271,0.93,0.03
-14.7,o,0.952,1,0.53
-10.05,x,0.231,1.16,0.13
-10.98,x,0.209,0.61,0.13
-15.07,o,1.324,0.95,0.07
-15.42,o,1.029,1.12,0.08
-13.76,o,0.772,0.79,0.48
-13.11,x,0.489,0.83,0.33
-14.18,o,1.176,0.72,0.07
-8.58,x,0.25,0.24,0.46
-13.93,x,0.862,0.83,0.04
-10.89,x,0.557,1.32,0.65
-13.07,x,0.707,0.7,0.45
-15.24,x,1.054,1.05,0.6
-12.88,o,0.554,0.85,0.37
-9.28,x,0.475,0.06,0.47
-9.26,x,0.222,0.56,0.24
-15.35,o,1.095,1.03,0.03
-13.74,x,0.835,1,0
-9.44,x,0.208,0.34,0.2
-14.95,o,1.758,0.85,0.46
-17.23,o,1.632,1.66,0.22
-12.73,x,0.241,0.61,0.51
-15.73,x,1.045,1.46,0.43
-16.93,o,1.327,1.57,0.41
-16.17,o,0.931,1.38,0.16
-16.56,o,1.588,1.32,0.15
-16.08,o,1.327,1.35,0.11
-16.03,o,1.115,1.19,0.08
-16.01,o,0.704,1.18,0.07
-15.73,o,0.651,1.43,0.25
